location,date,total_cases,total_deaths,new_deaths
Spain,2020-07-09,253056.0,28401.0,5.0
Spain,2020-07-10,253908.0,28403.0,2.0
Spain,2020-07-11,253908.0,28403.0,0.0
Spain,2020-07-12,253908.0,28403.0,0.0
Spain,2020-07-13,255953.0,28406.0,3.0
Spain,2020-07-14,256619.0,28409.0,3.0
Spain,2020-07-15,257494.0,28413.0,4.0
Spain,2020-07-16,258855.0,28416.0,3.0
Spain,2020-07-17,260255.0,28420.0,4.0
Spain,2020-07-18,260255.0,28420.0,0.0
Spain,2020-07-19,260255.0,28420.0,0.0
Spain,2020-07-20,264836.0,28422.0,2.0
Spain,2020-07-21,266194.0,28424.0,2.0
Spain,2020-07-22,267551.0,28426.0,2.0
Spain,2020-07-23,270166.0,28429.0,3.0
Spain,2020-07-24,272421.0,28432.0,3.0
Spain,2020-07-25,272421.0,28432.0,0.0
Spain,2020-07-26,272421.0,28432.0,0.0
Spain,2020-07-27,278782.0,28434.0,2.0
Spain,2020-07-28,280610.0,28436.0,2.0
Spain,2020-07-29,282641.0,28441.0,5.0
Spain,2020-07-30,285430.0,28443.0,2.0
Spain,2020-07-31,288522.0,28445.0,2.0
Spain,2020-08-01,288522.0,28445.0,0.0
Spain,2020-08-02,288522.0,28445.0,0.0
Spain,2020-08-03,297054.0,28472.0,27.0
Spain,2020-08-04,302814.0,28498.0,26.0
Spain,2020-08-05,305767.0,28499.0,1.0
Spain,2020-08-06,309855.0,28500.0,1.0
Spain,2020-08-07,314362.0,28503.0,3.0
Spain,2020-08-08,314362.0,28503.0,0.0
Spain,2020-08-09,314362.0,28503.0,0.0
Spain,2020-08-10,322980.0,28576.0,73.0
Spain,2020-08-11,326612.0,28581.0,5.0
Spain,2020-08-12,329784.0,28579.0,-2.0
Spain,2020-08-13,337334.0,28605.0,26.0
Spain,2020-08-14,342813.0,28617.0,12.0
Spain,2020-08-15,342813.0,28617.0,0.0
Spain,2020-08-16,342813.0,28617.0,0.0
Spain,2020-08-17,359082.0,28646.0,29.0
Spain,2020-08-18,364196.0,28670.0,24.0
Spain,2020-08-19,370867.0,28797.0,127.0
Spain,2020-08-20,377906.0,28813.0,16.0
Spain,2020-08-21,386054.0,28838.0,25.0
Spain,2020-08-22,386054.0,28838.0,0.0
